town,町
traditional,伝統的な
train,列車
trash,ごみ、くず
travel,旅行
tree,木
trip,旅行
try,を試す
Tuesday,火曜日
turn,順番
turn,向く、曲がる
twelfth,12番目
twelve,12
twentieth,20番目
twenty,20
two,2
umbrella,傘
under,下の
understand,を理解する
up,上へ
work,仕事
so,とても
use,使う
want,欲しい
very,非常に
learn,学ぶ
letter,手紙
yesterday,昨日
usually,普段、ふつう
where,どこ
diary,日記
floor,階
wait,待つ
west,西
arrive,到着する
already,すでに
slowly,ゆっくりと
yet,まだ
warm,温暖な
stamp,切手
plane,飛行機
doll,人形
uncle,おじ
aunt,おば
clerk,店員
church,教会
village,町、村
honest,正直な
east,東
south,南
north,北
hat,帽子
ear,耳
people,人々
king,王様
talk,話す
art,芸術
question,質問
each,各々
think,考える
sit,座る
see,見る
tea,お茶
ice,氷
take,連れて行く
take,取る
tell,伝える
well,健康な
important,重要な
teach,教える
sea,海
grandfather,祖父
language,言語
listen,聴く
join,参加する
difficult,難しい
eye,目
understand,理解する
interesting,面白い
word,言葉
hope,望む
mountain,山
practice,練習する
mean,意味する
sure,確信して
set,置く
popular,人気の
market,市場
foot,足
animal,動物
leg,脚
child,子供
history,歴史
spend,費やす
become,～になる
useful,役に立つ
tired,疲れて
lake,湖
river,川
fun,楽しみ
date,日付
forget,忘れる
climb,登る
feel,感じる
throw,投げる
fall,落ちる
museum,博物館
dictionary,辞書
nose,鼻
dish,皿
vegetable,野菜
tooth,歯
vacation,休暇
math,数学
grandmother,祖母
eraser,消しゴム
sleep,眠る
draw,描く
worry,心配させる
happen,起こる
borrow,借りる
bring,持って来る
farm,農場
heart,心
water,水
island,島
hundred,百
mouth,口
bath,風呂
police,警察
thousand,千
textbook,教科書
horse,馬
roof,屋根
pond,池
nature,自然
beef,牛肉
rabbit,ウサギ
shoulder,肩
pig,ブタ
bear,クマ
farmer,農家
excuse,許す
pick,選ぶ
brown,茶色の
rainy,雨降りの
quiet,静かな
cloudy,曇った
busy,忙しい
honest,正直な
poor,貧乏な
hungry,空腹の
fine,元気な，晴れた
south,南
north,北
about,およそ、約、ごろ
be about to,今にもしようとしている
abroad,外国に、海外に
from abroad,外国から
absent,欠席の
according to,によれば
across,横断して
action,行動
add,加える
advice,忠告
advise,助言する
afraid,こわがって
be afraid to,するのがこわい
after,～の後に
after,にならって、ちなんで
after all,結局
age,時代
ago,～の前に
air conditioner,冷房
airplane,飛行機
airport,空港
alive,生きて
all,全ての、全部の
alone,独りで
among,の中で
ancient,古代の
angle,角度
angry,怒って
another,もう1つ、一人の
answer,に答える
apologize,謝る
appear,現れる
are,ある、いる
arm,腕
arrive,到着する
arrive at,に到着する
article,記事
as,のような
as for,について言えば
ask,をたのむ
aunt,おば
away,なくなって
baby,赤ん坊
barrier,障壁
be,ある、いる
beauty,美しさ、美
because,だから、なので
because of,が理由で
beer,ビール
before,する前に
before,以前に
began,始めた
